id,name,grade,preferred_subject,attendance_rate,home_language,password,math_score,science_score,english_language_score,role,school_id,is_super_admin,failed_login_attempts,locked_until,xp,badges,email,section_id
SA-001,Platform Super Admin,0,N/A,,,SuperAdmin123!,,,,SuperAdmin,,False,0,,0,[],super@admin.com,
superadmin,Principal / Super Admin,0,All,100.0,English,admin123,100.0,100.0,100.0,Admin,1,True,0,,0,[],,
teacher_g1,Teacher Grade 1,1,All,100.0,English,teacher123,100.0,100.0,100.0,Teacher,1,False,0,,0,[],,
teacher_g2,Teacher Grade 2,2,All,100.0,English,teacher123,100.0,100.0,100.0,Teacher,1,False,0,,0,[],,
teacher_g3,Teacher Grade 3,3,All,100.0,English,teacher123,100.0,100.0,100.0,Teacher,1,False,0,,0,[],,
teacher_g4,Teacher Grade 4,4,All,100.0,English,teacher123,100.0,100.0,100.0,Teacher,1,False,0,,0,[],,
teacher_g5,Teacher Grade 5,5,All,100.0,English,teacher123,100.0,100.0,100.0,Teacher,1,False,0,,0,[],,
student_g1_2,Student G1-2,1,General,89.1,English,student123,52.3,52.3,65.9,Student,1,False,0,,0,[],,
student_g5_2,Student G5-2,5,General,64.5,English,student123,72.9,69.0,61.1,Student,1,False,0,,0,[],,
student_g2_2,Student G2-2,2,General,74.6,English,student123,48.7,49.2,68.9,Student,1,False,0,,0,[],,
student_g5_3,Student G5-3,5,General,70.1,English,student123,92.0,62.3,49.0,Student,1,False,0,,0,[],,
principal_noble,Noble Principal,0,Administration,100.0,English,principal123,,,,Principal,1,False,0,,0,[],,
student_g5_4,Student G5-4,5,General,92.7,English,student123,64.1,75.0,45.1,Student,1,False,0,,0,[],,
student_g5_5,Student G5-5,5,General,84.6,English,student123,48.3,67.5,84.9,Student,1,False,0,,0,[],,
admin,System Admin,0,All,100.0,English,admin,100.0,100.0,100.0,Admin,1,True,0,,0,[],,
student_g1_3,Student G1-3,1,General,77.3,English,student123,52.3,62.5,89.9,Student,1,False,0,,0,[],,
student_g1_4,Student G1-4,1,General,93.0,English,student123,84.5,77.0,76.8,Student,1,False,0,,0,[],,
student_g1_5,Student G1-5,1,General,89.5,English,student123,72.7,57.4,92.3,Student,1,False,0,,0,[],,
student_g1_6,Student G1-6,1,General,72.8,English,student123,76.0,54.3,52.3,Student,1,False,0,,0,[],,
student_g1_7,Student G1-7,1,General,71.3,English,student123,71.3,47.9,93.6,Student,1,False,0,,0,[],,
student_g1_8,Student G1-8,1,General,81.6,English,student123,60.8,64.8,61.6,Student,1,False,0,,0,[],,
student_g1_9,Student G1-9,1,General,68.8,English,student123,66.2,55.1,96.9,Student,1,False,0,,0,[],,
student_g1_10,Student G1-10,1,General,70.6,English,student123,48.7,97.8,68.4,Student,1,False,0,,0,[],,
student_g2_1,Student G2-1,2,General,97.1,English,student123,65.1,96.5,91.6,Student,1,False,0,,0,[],,
student_g2_3,Student G2-3,2,General,69.9,English,student123,83.4,55.8,96.2,Student,1,False,0,,0,[],,
student_g2_4,Student G2-4,2,General,69.9,English,student123,87.1,66.8,78.9,Student,1,False,0,,0,[],,
student_g2_5,Student G2-5,2,General,75.5,English,student123,72.3,64.3,91.5,Student,1,False,0,,0,[],,
student_g2_6,Student G2-6,2,General,86.6,English,student123,46.3,70.5,51.1,Student,1,False,0,,0,[],,
student_g2_7,Student G2-7,2,General,63.9,English,student123,95.1,89.8,67.1,Student,1,False,0,,0,[],,
student_g2_8,Student G2-8,2,General,97.0,English,student123,53.7,79.8,86.2,Student,1,False,0,,0,[],,
student_g2_9,Student G2-9,2,General,67.8,English,student123,58.9,89.0,89.5,Student,1,False,0,,0,[],,
student_g2_10,Student G2-10,2,General,99.5,English,student123,89.6,91.4,61.1,Student,1,False,0,,0,[],,
student_g3_1,Student G3-1,3,General,95.0,English,student123,53.2,93.3,70.8,Student,1,False,0,,0,[],,
student_g3_2,Student G3-2,3,General,62.6,English,student123,97.9,62.5,81.8,Student,1,False,0,,0,[],,
student_g3_3,Student G3-3,3,General,73.6,English,student123,93.8,73.5,69.2,Student,1,False,0,,0,[],,
student_g3_4,Student G3-4,3,General,78.2,English,student123,60.3,75.7,87.5,Student,1,False,0,,0,[],,
student_g3_5,Student G3-5,3,General,84.0,English,student123,45.4,70.8,59.5,Student,1,False,0,,0,[],,
